website_id,category,scenario,technical_score,technical_norm,demographic_score,demographic_norm,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,stability_status,top_issue_1,top_issue_2,top_issue_3
W32,tangan,S2,0.4361455635818455,0.2897763288961333,0.002399757447,0.2141451201257526,0.251960724511,26,4,22,11,,SC 1.4.3,SC 1.1.1,SC 1.3.1
W10,tangan,S2,0.4641133978465313,0.3083582359865978,0.001800165153,0.0,0.154179117993,27,7,26,29,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W12,tangan,S2,0.0,0.0,0.002599998381,0.2856614142719926,0.142830707136,28,21,29,27,,SC 1.3.1,SC 1.4.3,No dominant issue
W24,tangan,S2,0.0,0.0,0.002199780159,0.1427229874704215,0.071361493735,29,29,29,8,,SC 1.3.1,SC 3.1.1,No dominant issue
W16,tangan,S2,0.0,0.0,0.001900016324,0.0356619676778101,0.017830983839,30,28,23,30,,SC 1.3.1,SC 1.4.4,SC 3.1.1
W33,tangan,S3,1.0568352187542591,0.702164266956443,0.004600099579,1.0,0.910649280087,1,15,13,1,,SC 4.1.2,SC 2.4.4,SC 1.1.1
W13,tangan,S3,1.5051110808232249,1.0,0.003600009721,0.6428166857361967,0.749971680015,2,1,1,13,,SC 1.3.1,SC 4.1.2,SC 1.1.1
W14,tangan,S3,0.4361455635818455,0.2897763288961333,0.004399904304,0.9285000130213764,0.736882907784,3,27,25,2,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W23,tangan,S3,0.8499386670301213,0.5647016209363397,0.003799937821,0.7142212508372509,0.669365361867,4,20,12,10,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W01,tangan,S3,0.8499386670301213,0.5647016209363397,0.003299987056,0.5356632244929582,0.544374743426,5,2,3,5,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W27,tangan,S3,0.8499386670301213,0.5647016209363397,0.003299984825,0.5356624276885833,0.544374185663,6,17,21,7,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W17,tangan,S3,0.8499386670301213,0.5647016209363397,0.003100043034,0.4642529728301573,0.494387567262,7,19,2,19,,SC 1.4.3,SC 1.3.1,SC 4.1.2
