website_id,category,technical_score,technical_norm,demographic_score,demographic_norm,scenario,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,top_issue_1,top_issue_2,top_issue_3,stability_status
W09,melihat,20.11,0.3768955858205351,0.0031,0.1428571428571428,S2,0.259876364338839,22,4,9,27,2.4.4,4.1.2,1.1.1,Sensitif
W25,melihat,13.87,0.2563508161885444,0.0036,0.2619047619047618,S2,0.2591277890466531,23,16,15,21,1.4.3,4.1.2,2.4.4,Sensitif
W02,melihat,9.665000000000001,0.17511832319134554,0.0038,0.3095238095238095,S2,0.2423210663575775,24,23,23,18,4.1.2,1.4.3,2.4.4,Sensitif
W14,melihat,3.145,0.049164493383560326,0.0043,0.4285714285714285,S2,0.2388679609774944,25,27,27,12,4.1.2,1.4.3,3.1.1,Sensitif
W17,melihat,11.77,0.215782864870086,0.0034,0.2142857142857142,S2,0.2150342895779001,26,21,22,25,1.4.3,4.1.2,1.4.1,Sensitif
W10,melihat,13.425,0.24775427412344253,0.0031,0.1428571428571428,S2,0.19530570849029266,27,19,17,27,1.4.3,4.1.2,2.4.4,Sensitif
W15,melihat,1.05,0.008693132425383946,0.0035,0.23809523809523805,S2,0.123394185260311,28,28,29,22,1.4.3,2.2.1,-,Sensitif
W12,melihat,3.75,0.06085192697768763,0.0031,0.1428571428571428,S2,0.10185453491741521,29,25,25,27,1.4.3,-,-,Sensitif
W16,melihat,1.4000000000000001,0.015454457645127019,0.0025,0.0,S2,0.0077272288225635095,30,28,28,30,1.4.4,3.1.1,-,Sensitif
W01,melihat,52.364999999999995,1.0,0.0059,0.8095238095238093,S3,0.8666666666666665,1,1,1,3,1.4.3,1.1.1,2.4.4,Robust
W33,melihat,18.855,0.35265140538974216,0.0067,1.0,S3,0.8057954216169226,2,10,12,1,4.1.2,2.4.4,1.1.1,Robust
W18,melihat,22.009999999999998,0.4135999227277118,0.006,0.8333333333333333,S3,0.7074133101516468,3,6,8,2,4.1.2,2.4.4,1.1.1,Sensitif
W32,melihat,31.339999999999996,0.5938375350140056,0.0054,0.6904761904761905,S3,0.661484593837535,4,2,2,5,1.4.3,1.1.1,4.1.2,Cukup stabil
W19,melihat,12.445,0.22882256350816194,0.0056,0.7380952380952379,S3,0.5853134357191151,5,18,19,4,4.1.2,1.4.3,2.4.4,Sensitif
W29,melihat,7.05,0.12460156476383658,0.0054,0.6904761904761905,S3,0.5207138027624842,6,24,24,5,1.4.3,4.1.2,2.4.4,Sensitif
W34,melihat,22.044999999999998,0.4142760552496861,0.0048,0.5476190476190474,S3,0.507616149908239,7,8,7,9,1.4.3,4.1.2,1.1.1,Sensitif
W24,melihat,0.6000000000000001,0.0,0.0054,0.6904761904761905,S3,0.4833333333333333,8,30,30,5,3.1.1,-,-,Sensitif
W27,melihat,18.65,0.3486912006181783,0.0047,0.5238095238095237,S3,0.47127402685212005,9,14,13,10,4.1.2,2.4.4,1.1.1,Sensitif
W20,melihat,12.3,0.22602144305998267,0.0049,0.5714285714285713,S3,0.4678064329179947,10,22,20,8,1.4.3,4.1.2,1.1.1,Sensitif
W06,melihat,25.5125,0.48126147010528353,0.0043,0.4285714285714285,S3,0.44437844103158497,11,7,3,12,4.1.2,1.4.3,2.4.4,Sensitif
W21,melihat,19.740000000000002,0.36974789915966394,0.0043,0.4285714285714285,S3,0.41092436974789914,12,10,10,12,1.4.3,2.4.4,4.1.2,Sensitif
