page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P039,W08,https://ppid.lampungprov.go.id/,Konten,PERLU CEK MANUAL - tidak ketemu di requests maupun Selenium,,rendered,2026-08-02T06:26:51.084676+00:00
P040,W08,https://lampungprov.go.id/,Interaksi/Kontak,ada tombol dibawah,,rendered,2026-08-02T06:26:54.750942+00:00
P041,W09,https://drupal.dinsospmd.babelprov.go.id,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:26:59.433839+00:00
P042,W09,https://drupal.dinsospmd.babelprov.go.id/bahas-realisasi-anggaran-tahun-2025-kepala-dinas-sosial-pmd-mengikuti-rapat-kerja-dengan-komisi-iv,Profil,"Auto-dipilih (link: """", keyword: misi) - REVIEW",,rendered,2026-08-02T06:27:07.250761+00:00
P043,W09,https://drupal.dinsospmd.babelprov.go.id/silahturahmi-dengan-pegawai-plt-kepala-dinsospmd-ajak-pegawai-untuk-berikan-layanan-publik-yang-baik,Layanan,"Auto-dipilih (link: """", keyword: layanan) - REVIEW",,rendered,2026-08-02T06:27:12.338789+00:00
P044,W09,https://drupal.dinsospmd.babelprov.go.id/berita,Konten,"Auto-dipilih (link: ""more"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:27:16.329831+00:00
P045,W09,https://drupal.dinsospmd.babelprov.go.id/kanal-layanan-pengaduan,Interaksi/Kontak,"Auto-dipilih (link: """", keyword: pengaduan) - REVIEW",,rendered,2026-08-02T06:27:21.749476+00:00
P046,W10,https://dinsos.kepriprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:27:26.218984+00:00
P047,W10,https://dinsos.kepriprov.go.id/laman/tentang-kami,Profil,"Auto-dipilih (link: ""Profil"", keyword: profil) - REVIEW",,rendered,2026-08-02T06:27:36.250120+00:00
P048,W10,https://dinsos.kepriprov.go.id/layanan,Layanan,"Auto-dipilih (link: ""Layanan"", keyword: layanan) - REVIEW",,rendered,2026-08-02T06:27:40.845793+00:00
P049,W10,https://dinsos.kepriprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:27:45.818111+00:00
P050,W10,https://dinsos.kepriprov.go.id/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Kontak Kami"", keyword: kontak) - REVIEW",,rendered,2026-08-02T06:27:49.453837+00:00
P051,W11,https://dinsos.jakarta.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:27:55.091708+00:00
P052,W11,https://dinsos.jakarta.go.id/profile,Profil,"Auto-dipilih (link: ""Profil Kepala Dinas"", keyword: profil) - REVIEW",,rendered,2026-08-02T06:28:28.480028+00:00
P053,W11,https://dinsos.jakarta.go.id/asset-frontend/file/Alur-PPID.pdf,Layanan,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: permohonan) - REVIEW",,rendered,2026-08-02T06:28:34.554525+00:00
P054,W11,https://dinsos.jakarta.go.id/asset-frontend/file/Alur-PPID.pdf,Konten,"Auto-dipilih (link: ""Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan"", keyword: informasi) - REVIEW",,rendered,2026-08-02T06:28:37.220975+00:00
P055,W11,https://dinsos.jakarta.go.id/,Interaksi/Kontak,di footer,,rendered,2026-08-02T06:28:39.521150+00:00
P056,W12,https://dinsos.jabarprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:28:43.966998+00:00
P057,W12,https://dinsos.jabarprov.go.id/visi-misi,Profil,"Auto-dipilih (link: ""Visi Misi"", keyword: visi) - REVIEW",,rendered,2026-08-02T06:28:47.074119+00:00
P058,W12,https://dinsos.jabarprov.go.id/sasaran-program-dinsos-jabar,Layanan,"Auto-dipilih (link: ""Sasaran Program"", keyword: program) - REVIEW",,rendered,2026-08-02T06:28:49.540783+00:00
P059,W12,https://dinsos.jabarprov.go.id/sop-pelayanan-informasi,Konten,"Auto-dipilih (link: ""Prosedur Pelayanan Informasi"", keyword: informasi) - REVIEW",,rendered,2026-08-02T06:28:51.971434+00:00
