website_id,category,issue_rank,wcag_sc,page_id,page_url
W16,tangan,1,1.4.4,P078,https://dinsos.bantenprov.go.id/kebijakan-pelayanan-informasi-publik
W16,tangan,1,1.4.4,P079,https://dinsos.bantenprov.go.id/kategori/9fcd9da3-756c-46af-ba9f-bfb06ac57533/artikel
W16,tangan,1,1.4.4,P080,https://dinsos.bantenprov.go.id/tata-cara-pengaduan
W17,melihat,1,1.4.3,P081,https://dissosp3a.baliprov.go.id/
W17,melihat,1,1.4.3,P084,https://dissosp3a.baliprov.go.id/berita/
W17,melihat,1,1.4.3,P085,https://dissosp3a.baliprov.go.id/
W17,melihat,2,4.1.2,P081,https://dissosp3a.baliprov.go.id/
W17,melihat,2,4.1.2,P082,https://dissosp3a.baliprov.go.id/profil-perangkat-daerah/
W17,melihat,2,4.1.2,P083,https://dissosp3a.baliprov.go.id/maklumat-pelayanan/
W17,melihat,2,4.1.2,P084,https://dissosp3a.baliprov.go.id/berita/
W17,melihat,2,4.1.2,P085,https://dissosp3a.baliprov.go.id/
W17,melihat,3,1.4.1,P081,https://dissosp3a.baliprov.go.id/
W17,melihat,3,1.4.1,P082,https://dissosp3a.baliprov.go.id/profil-perangkat-daerah/
W17,melihat,3,1.4.1,P083,https://dissosp3a.baliprov.go.id/maklumat-pelayanan/
W17,melihat,3,1.4.1,P084,https://dissosp3a.baliprov.go.id/berita/
W17,melihat,3,1.4.1,P085,https://dissosp3a.baliprov.go.id/
W17,tangan,1,4.1.2,P081,https://dissosp3a.baliprov.go.id/
W17,tangan,1,4.1.2,P082,https://dissosp3a.baliprov.go.id/profil-perangkat-daerah/
W17,tangan,1,4.1.2,P083,https://dissosp3a.baliprov.go.id/maklumat-pelayanan/
W17,tangan,1,4.1.2,P084,https://dissosp3a.baliprov.go.id/berita/
W17,tangan,1,4.1.2,P085,https://dissosp3a.baliprov.go.id/
W17,tangan,2,2.4.4,P081,https://dissosp3a.baliprov.go.id/
W17,tangan,2,2.4.4,P082,https://dissosp3a.baliprov.go.id/profil-perangkat-daerah/
W17,tangan,2,2.4.4,P083,https://dissosp3a.baliprov.go.id/maklumat-pelayanan/
W17,tangan,2,2.4.4,P084,https://dissosp3a.baliprov.go.id/berita/
W17,tangan,2,2.4.4,P085,https://dissosp3a.baliprov.go.id/
W17,tangan,3,1.1.1,P081,https://dissosp3a.baliprov.go.id/
W17,tangan,3,1.1.1,P082,https://dissosp3a.baliprov.go.id/profil-perangkat-daerah/
W17,tangan,3,1.1.1,P083,https://dissosp3a.baliprov.go.id/maklumat-pelayanan/
W17,tangan,3,1.1.1,P084,https://dissosp3a.baliprov.go.id/berita/
W17,tangan,3,1.1.1,P085,https://dissosp3a.baliprov.go.id/
W18,melihat,1,4.1.2,P086,https://dinsosntbpemprov.com/
W18,melihat,1,4.1.2,P087,https://dinsosntbpemprov.com/profile/
W18,melihat,1,4.1.2,P088,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/
W18,melihat,1,4.1.2,P089,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/
W18,melihat,1,4.1.2,P090,https://dinsosntbpemprov.com/
W18,melihat,2,2.4.4,P086,https://dinsosntbpemprov.com/
W18,melihat,2,2.4.4,P087,https://dinsosntbpemprov.com/profile/
W18,melihat,2,2.4.4,P088,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/
W18,melihat,2,2.4.4,P089,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/
W18,melihat,2,2.4.4,P090,https://dinsosntbpemprov.com/
W18,melihat,3,1.1.1,P086,https://dinsosntbpemprov.com/
W18,melihat,3,1.1.1,P090,https://dinsosntbpemprov.com/
W18,tangan,1,4.1.2,P086,https://dinsosntbpemprov.com/
W18,tangan,1,4.1.2,P087,https://dinsosntbpemprov.com/profile/
W18,tangan,1,4.1.2,P088,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/
W18,tangan,1,4.1.2,P089,https://dinsosntbpemprov.com/tata-cara-permohonan-pengajuan-informasi-dan-permohonan-keberatan/
W18,tangan,1,4.1.2,P090,https://dinsosntbpemprov.com/
W18,tangan,2,2.4.4,P086,https://dinsosntbpemprov.com/
W18,tangan,2,2.4.4,P087,https://dinsosntbpemprov.com/profile/
